2024-08-02 12:59:11.794 (   0.028s) [        E238AD67]      netinterfaces.cpp:58    INFO| 	IPv6 ifindex 22
2024-08-02 12:59:11.795 (   0.028s) [        E238AD67]      netinterfaces.cpp:36    INFO| netif '{6EA90E31-C129-4CCF-875F-44E04599FBD2}' (status: 2, multicast: 1
2024-08-02 12:59:11.795 (   0.028s) [        E238AD67]      netinterfaces.cpp:36    INFO| netif '{2D6C05AA-BFEE-4925-A396-04B018DC0965}' (status: 2, multicast: 1
2024-08-02 12:59:11.795 (   0.028s) [        E238AD67]      netinterfaces.cpp:36    INFO| netif '{C54C331E-2DA7-41C3-A754-F372CEF6AFD2}' (status: 1, multicast: 1
2024-08-02 12:59:11.795 (   0.028s) [        E238AD67]      netinterfaces.cpp:58    INFO| 	IPv6 ifindex 23
2024-08-02 12:59:11.795 (   0.028s) [        E238AD67]      netinterfaces.cpp:36    INFO| netif '{42836086-1D70-4881-9A15-196EF16E160D}' (status: 2, multicast: 1
2024-08-02 12:59:11.795 (   0.028s) [        E238AD67]      netinterfaces.cpp:36    INFO| netif '{A0A4CD27-CC65-453B-9A4C-B839C060218B}' (status: 2, multicast: 1
2024-08-02 12:59:11.795 (   0.028s) [        E238AD67]      netinterfaces.cpp:36    INFO| netif '{51F10111-F067-11EA-9B1A-806E6F6E6963}' (status: 1, multicast: 1
2024-08-02 12:59:11.795 (   0.028s) [        E238AD67]      netinterfaces.cpp:58    INFO| 	IPv6 ifindex 1
2024-08-02 12:59:11.795 (   0.029s) [        E238AD67]         api_config.cpp:270   INFO| Loaded default config
2024-08-02 12:59:11.795 (   0.029s) [        E238AD67]             common.cpp:65    INFO| git:6ca188c266c21f7228dc67077303fa6abaf2e8be/branch:refs/tags/v1.16.2/build:Release/compiler:MSVC-19.0.24245.0/link:SHARED
2024-08-02 12:59:11.811 (   0.044s) [        E238AD67]         udp_server.cpp:82    WARN| Could not bind multicast responder for ff02:113d:6fdd:2c17:a643:ffe2:1bd1:3cd2 to interface fd6d:c83b:5cef:b6b2::1 (An invalid argument was supplied.)
2024-08-02 12:59:11.811 (   0.044s) [        E238AD67]         udp_server.cpp:82    WARN| Could not bind multicast responder for ff02:113d:6fdd:2c17:a643:ffe2:1bd1:3cd2 to interface 192.168.192.177 (An invalid argument was supplied.)
